phase,sim_time,event_id,type,source,classification,reason,payload_summary
proposed,0,E77,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E78,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E79,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E80,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E81,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E82,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E83,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E84,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E85,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E86,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E87,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E88,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E89,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E90,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E91,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E92,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E93,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E94,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E95,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E96,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_SNACK_X;qty=1
proposed,0,E97,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E98,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E99,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E100,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E101,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E102,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E103,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E104,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E105,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E106,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E107,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
